ID, Name,Category,Purchase Date,Status,Branch ID
40143,Decline Chest Press Machine,Chest / Upper Body Machines,2021-02-03,Operational,4
40144,Pec Deck (Butterfly Machine),Chest / Upper Body Machines,2021-02-23,Operational,4
40145,Shoulder Press Machine,Shoulder / Arm Machines,2020-12-21,Operational,4
40146,Lateral Raise Machine,Shoulder / Arm Machines,2020-12-13,Operational,4
40147,Rear Delt Machine,Back Machines,2021-02-14,Operational,4
40148,Seated Row Machine,Back Machines,2021-04-09,Operational,4
40149,Lat Pulldown Machine,Back Machines,2021-04-06,Operational,4
40150,Cable Crossover Machine,Functional / Multi-Station Equipment,2021-03-14,Operational,4
40151,Dual Adjustable Pulley Machine,Functional / Multi-Station Equipment,2020-12-07,Operational,4
40152,Smith Machine,Functional / Multi-Station Equipment,2021-04-15,Operational,4
40153,Power Rack,Functional / Multi-Station Equipment,2021-01-31,Operational,4
40154,Squat Rack,Leg Machines,2021-04-06,Operational,4
40155,Leg Press Machine,Leg Machines,2021-04-06,Operational,4
40156,Hack Squat Machine,Leg Machines,2021-02-08,Operational,4
40157,Leg Extension Machine,Leg Machines,2020-12-19,Operational,4
40158,Leg Curl Machine (Seated),Leg Machines,2021-04-15,Operational,4
40159,Leg Curl Machine (Lying),Leg Machines,2021-03-08,Operational,4
40160,Calf Raise Machine (Standing),Leg Machines,2020-12-13,Operational,4
40161,Calf Raise Machine (Seated),Leg Machines,2021-02-24,Operational,4
40162,Glute Kickback Machine,Leg Machines,2020-12-14,Operational,4
40163,Hip Abductor Machine,Leg Machines,2021-04-04,Operational,4
40164,Hip Adductor Machine,Leg Machines,2021-03-11,Operational,4
40165,Ab Crunch Machine,Core / Abs Machines,2020-12-10,Operational,4
40166,Back Extension Machine,Core / Abs Machines,2021-01-14,Operational,4
40167,Assisted Pull-Up / Dip Machine,Back Machines,2021-03-07,Under Maintenance,4
40168,Multi-Station Gym Machine,Functional / Multi-Station Equipment,2021-01-07,Operational,4
40169,Cable Station 4 Stack,Functional / Multi-Station Equipment,2020-11-26,Operational,4
40170,Functional Trainer Machine,Functional / Multi-Station Equipment,2021-03-01,Operational,4
40171,Smith Combo Rack,Functional / Multi-Station Equipment,2021-01-10,Operational,4
40172,Linear Leg Press (45°),Leg Machines,2021-02-27,Operational,4
40173,Vertical Leg Press,Leg Machines,2021-04-01,Operational,4
40174,Plate Loaded Chest Press Machine,Chest / Upper Body Machines,2021-03-21,Operational,4
40175,Plate Loaded Row Machine,Back Machines,2021-01-22,Operational,4
40176,Plate Loaded Shoulder Press Machine,Shoulder / Arm Machines,2021-01-14,Operational,4
40177,Plate Loaded Squat Machine,Leg Machines,2021-03-07,Operational,4
40178,Plate Loaded Deadlift Machine,Back Machines,2021-03-29,Operational,4
40179,Plate Loaded T-Bar Row Machine,Back Machines,2020-11-30,Operational,4
40180,Plate Loaded Bicep Curl Machine,Shoulder / Arm Machines,2021-04-10,Operational,4
40181,Plate Loaded Tricep Extension Machine,Shoulder / Arm Machines,2021-01-14,Operational,4
40182,Standing Leg Curl Machine,Leg Machines,2021-01-29,Operational,4
40183,Rotary Torso Machine,Core / Abs Machines,2020-12-16,Operational,4
40184,Inner / Outer Thigh Machine,Leg Machines,2021-01-07,Operational,4
40185,Glute Bridge Machine,Leg Machines,2021-03-17,Operational,4
40186,Hip Thrust Machine,Leg Machines,2021-04-01,Operational,4
40187,Abdominal Machine,Core / Abs Machines,2021-02-12,Operational,4
40188,Lower Back Machine,Core / Abs Machines,2021-02-23,Operational,4
40189,Total Body Trainer,Functional / Multi-Station Equipment,2020-12-01,Operational,4
40190,Selectorized Bicep Curl Machine,Shoulder / Arm Machines,2020-12-28,Operational,4
40191,Selectorized Tricep Press Machine,Shoulder / Arm Machines,2021-03-22,Operational,4
40192,Plate Loaded Iso-Lateral Leg Press Machine,Leg Machines,2020-12-17,Operational,5
40193,Plate Loaded Iso-Lateral Pulldown Machine,Back Machines,2021-03-27,Operational,5
40194,Plate Loaded Iso-Lateral Low Row Machine,Back Machines,2021-02-08,Operational,5
40195,Plate Loaded Iso-Lateral Deadlift Machine,Back Machines,2021-04-17,Operational,5
40196,Plate Loaded Iso-Lateral Multi Press,Chest / Upper Body Machines,2020-12-11,Operational,5
40197,Smith Functional Trainer Combo,Functional / Multi-Station Equipment,2021-02-12,Operational,5
40198,Free Motion Dual Cable Machine,Functional / Multi-Station Equipment,2020-12-14,Operational,5
40199,Chest Fly / Rear Delt Combo Machine,Chest / Upper Body Machines,2021-04-07,Operational,5
40200,Pec Deck / Press Combo,Chest / Upper Body Machines,2020-12-17,Operational,5
40201,Assisted Squat Machine,Leg Machines,2020-12-12,Operational,5
40202,Smith Counterbalanced Machine,Functional / Multi-Station Equipment,2021-02-14,Operational,5
40203,Incline Lever Row Machine,Back Machines,2020-12-30,Operational,5
40204,Abdominal Crunch Bench (Machine Type),Core / Abs Machines,2020-12-28,Operational,5
40205,Glute Ham Developer Machine,Leg Machines,2021-01-21,Operational,5
40206,45° Back Extension Machine,Core / Abs Machines,2021-01-18,Operational,5
40207,Standing Calf Press Machine,Leg Machines,2021-02-27,Operational,5
40208,Selectorized Multi Hip Machine,Leg Machines,2021-02-10,Operational,5
40209,Selectorized Rotary Torso Machine,Core / Abs Machines,2021-03-23,Operational,5
40210,Seated Dip Machine,Shoulder / Arm Machines,2021-03-11,Operational,5
40211,Lever Arm Shoulder Press,Shoulder / Arm Machines,2021-04-16,Operational,5
40212,Power Tower (Pull-up / Dip Station),Functional / Multi-Station Equipment,2021-04-16,Operational,5
40213,Chest Press Machine,Chest / Upper Body Machines,2021-03-20,Operational,5
40214,Lat Pulldown Machine,Back Machines,2021-03-05,Operational,5
40215,Leg Press Machine,Leg Machines,2020-12-31,Operational,5
40216,Smith Machine,Functional / Multi-Station Equipment,2021-02-13,Operational,5
40217,Cable Crossover Machine,Functional / Multi-Station Equipment,2021-03-31,Operational,5
40218,Plate Loaded Chest Press Machine,Chest / Upper Body Machines,2021-05-10,Operational,5
40219,Plate Loaded Row Machine,Back Machines,2020-12-24,Operational,5
40220,Plate Loaded Shoulder Press Machine,Shoulder / Arm Machines,2021-05-09,Operational,5
40221,Plate Loaded Squat Machine,Leg Machines,2021-03-29,Operational,5
40222,Plate Loaded Deadlift Machine,Back Machines,2021-04-10,Operational,5
40223,Plate Loaded T-Bar Row Machine,Back Machines,2021-03-28,Operational,5
40224,Plate Loaded Bicep Curl Machine,Shoulder / Arm Machines,2021-02-10,Operational,5
40225,Plate Loaded Tricep Extension Machine,Shoulder / Arm Machines,2021-01-24,Operational,5
40226,Standing Leg Curl Machine,Leg Machines,2021-04-30,Operational,5
40227,Rotary Torso Machine,Core / Abs Machines,2020-12-20,Operational,5
40228,Inner / Outer Thigh Machine,Leg Machines,2021-04-02,Operational,5
40229,Glute Bridge Machine,Leg Machines,2021-01-25,Operational,5
40230,Hip Thrust Machine,Leg Machines,2020-12-27,Operational,5
40231,Abdominal Machine,Core / Abs Machines,2021-04-10,Operational,5
40232,Lower Back Machine,Core / Abs Machines,2020-12-27,Operational,5
40233,Total Body Trainer,Functional / Multi-Station Equipment,2021-05-01,Operational,5
40234,Selectorized Bicep Curl Machine,Shoulder / Arm Machines,2021-03-07,Operational,5
40235,Selectorized Tricep Press Machine,Shoulder / Arm Machines,2020-12-15,Operational,5
